qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,eng-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:16:498:1:1,1,1603:16:498:0,1603:16:498:1:1,Anenii Noi,MD001,Republic of Moldova (the),MD,2022-05-13,2022-05-13,
1603:16:498:1:2,2,1603:16:498:0,1603:16:498:1:2,Balti,MD002,Republic of Moldova (the),MD,2022-05-13,2022-05-13,
1603:16:498:1:3,3,1603:16:498:0,1603:16:498:1:3,Basarabeasca,MD003,Republic of Moldova (the),MD,2022-05-13,2022-05-13,
1603:16:498:1:4,4,1603:16:498:0,1603:16:498:1:4,Bender,MD004,Republic of Moldova (the),MD,2022-05-13,2022-05-13,
1603:16:498:1:5,5,1603:16:498:0,1603:16:498:1:5,Briceni,MD005,Republic of Moldova (the),MD,2022-05-13,2022-05-13,
1603:16:498:1:6,6,1603:16:498:0,1603:16:498:1:6,Cahul,MD006,Republic of Moldova (the),MD,2022-05-13,2022-05-13,
1603:16:498:1:7,7,1603:16:498:0,1603:16:498:1:7,Calarasi,MD007,Republic of Moldova (the),MD,2022-05-13,2022-05-13,
1603:16:498:1:8,8,1603:16:498:0,1603:16:498:1:8,Cantemir,MD008,Republic of Moldova (the),MD,2022-05-13,2022-05-13,
1603:16:498:1:9,9,1603:16:498:0,1603:16:498:1:9,Causeni,MD009,Republic of Moldova (the),MD,2022-05-13,2022-05-13,
1603:16:498:1:10,10,1603:16:498:0,1603:16:498:1:10,Chisinau,MD010,Republic of Moldova (the),MD,2022-05-13,2022-05-13,
1603:16:498:1:11,11,1603:16:498:0,1603:16:498:1:11,Cimislia,MD011,Republic of Moldova (the),MD,2022-05-13,2022-05-13,
1603:16:498:1:12,12,1603:16:498:0,1603:16:498:1:12,Criuleni,MD012,Republic of Moldova (the),MD,2022-05-13,2022-05-13,
1603:16:498:1:13,13,1603:16:498:0,1603:16:498:1:13,Donduseni,MD013,Republic of Moldova (the),MD,2022-05-13,2022-05-13,
1603:16:498:1:14,14,1603:16:498:0,1603:16:498:1:14,Drochia,MD014,Republic of Moldova (the),MD,2022-05-13,2022-05-13,
1603:16:498:1:15,15,1603:16:498:0,1603:16:498:1:15,Dubasari,MD015,Republic of Moldova (the),MD,2022-05-13,2022-05-13,
1603:16:498:1:16,16,1603:16:498:0,1603:16:498:1:16,Edinet,MD016,Republic of Moldova (the),MD,2022-05-13,2022-05-13,
1603:16:498:1:17,17,1603:16:498:0,1603:16:498:1:17,Falesti,MD017,Republic of Moldova (the),MD,2022-05-13,2022-05-13,
1603:16:498:1:18,18,1603:16:498:0,1603:16:498:1:18,Floresti,MD018,Republic of Moldova (the),MD,2022-05-13,2022-05-13,
1603:16:498:1:19,19,1603:16:498:0,1603:16:498:1:19,Glodeni,MD019,Republic of Moldova (the),MD,2022-05-13,2022-05-13,
1603:16:498:1:20,20,1603:16:498:0,1603:16:498:1:20,Hincesti,MD020,Republic of Moldova (the),MD,2022-05-13,2022-05-13,
1603:16:498:1:21,21,1603:16:498:0,1603:16:498:1:21,Ialoveni,MD021,Republic of Moldova (the),MD,2022-05-13,2022-05-13,
1603:16:498:1:22,22,1603:16:498:0,1603:16:498:1:22,Leova,MD022,Republic of Moldova (the),MD,2022-05-13,2022-05-13,
1603:16:498:1:23,23,1603:16:498:0,1603:16:498:1:23,Nisporeni,MD023,Republic of Moldova (the),MD,2022-05-13,2022-05-13,
1603:16:498:1:24,24,1603:16:498:0,1603:16:498:1:24,Ocnita,MD024,Republic of Moldova (the),MD,2022-05-13,2022-05-13,
1603:16:498:1:25,25,1603:16:498:0,1603:16:498:1:25,Orhei,MD025,Republic of Moldova (the),MD,2022-05-13,2022-05-13,
1603:16:498:1:26,26,1603:16:498:0,1603:16:498:1:26,Rezina,MD026,Republic of Moldova (the),MD,2022-05-13,2022-05-13,
1603:16:498:1:27,27,1603:16:498:0,1603:16:498:1:27,Riscani,MD027,Republic of Moldova (the),MD,2022-05-13,2022-05-13,
1603:16:498:1:28,28,1603:16:498:0,1603:16:498:1:28,Singerei,MD028,Republic of Moldova (the),MD,2022-05-13,2022-05-13,
1603:16:498:1:29,29,1603:16:498:0,1603:16:498:1:29,Soldanesti,MD029,Republic of Moldova (the),MD,2022-05-13,2022-05-13,
1603:16:498:1:30,30,1603:16:498:0,1603:16:498:1:30,Soroca,MD030,Republic of Moldova (the),MD,2022-05-13,2022-05-13,
1603:16:498:1:31,31,1603:16:498:0,1603:16:498:1:31,Stefan Voda,MD031,Republic of Moldova (the),MD,2022-05-13,2022-05-13,
1603:16:498:1:32,32,1603:16:498:0,1603:16:498:1:32,Straseni,MD032,Republic of Moldova (the),MD,2022-05-13,2022-05-13,
1603:16:498:1:33,33,1603:16:498:0,1603:16:498:1:33,Taraclia,MD033,Republic of Moldova (the),MD,2022-05-13,2022-05-13,
1603:16:498:1:34,34,1603:16:498:0,1603:16:498:1:34,Telenesti,MD034,Republic of Moldova (the),MD,2022-05-13,2022-05-13,
1603:16:498:1:35,35,1603:16:498:0,1603:16:498:1:35,Transnistria,MD035,Republic of Moldova (the),MD,2022-05-13,2022-05-13,
1603:16:498:1:36,36,1603:16:498:0,1603:16:498:1:36,Ungheni,MD036,Republic of Moldova (the),MD,2022-05-13,2022-05-13,
1603:16:498:1:37,37,1603:16:498:0,1603:16:498:1:37,Unitate Teritoriala Autonoma Gagauzia,MD037,Republic of Moldova (the),MD,2022-05-13,2022-05-13,
